"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2021","AQS","100010002","3","7.2","ug/m3 LC","30","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"01/02/2021","AQS","100010002","3","4.3","ug/m3 LC","18","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"01/03/2021","AQS","100010002","3","6.2","ug/m3 LC","26","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"01/04/2021","AQS","100010002","3","9.7","ug/m3 LC","40","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"01/05/2021","AQS","100010002","3","12.3","ug/m3 LC","51","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"01/06/2021","AQS","100010002","3","6.2","ug/m3 LC","26","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"01/07/2021","AQS","100010002","3","5.9","ug/m3 LC","25","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"01/08/2021","AQS","100010002","3","10.5","ug/m3 LC","44","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"01/09/2021","AQS","100010002","3","5.3","ug/m3 LC","22","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"01/10/2021","AQS","100010002","3","6.3","ug/m3 LC","26","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"01/11/2021","AQS","100010002","3","9.8","ug/m3 LC","41","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"01/12/2021","AQS","100010002","3","16.1","ug/m3 LC","59","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"01/13/2021","AQS","100010002","3","18","ug/m3 LC","63","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"01/14/2021","AQS","100010002","3","14.8","ug/m3 LC","57","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"01/15/2021","AQS","100010002","3","16.5","ug/m3 LC","60","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"01/16/2021","AQS","100010002","3","7.5","ug/m3 LC","31","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"01/17/2021","AQS","100010002","3","4.4","ug/m3 LC","18","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"01/18/2021","AQS","100010002","3","4.9","ug/m3 LC","20","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"01/19/2021","AQS","100010002","3","5.5","ug/m3 LC","23","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"01/20/2021","AQS","100010002","3","5.5","ug/m3 LC","23","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"01/21/2021","AQS","100010002","3","6.4","ug/m3 LC","27","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"01/22/2021","AQS","100010002","3","4.5","ug/m3 LC","19","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"01/23/2021","AQS","100010002","3","4.4","ug/m3 LC","18","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"01/24/2021","AQS","100010002","3","4.9","ug/m3 LC","20","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"01/25/2021","AQS","100010002","3","7.5","ug/m3 LC","31","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"01/26/2021","AQS","100010002","3","6.2","ug/m3 LC","26","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"01/27/2021","AQS","100010002","3","9.8","ug/m3 LC","41","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"01/28/2021","AQS","100010002","3","5","ug/m3 LC","21","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"01/29/2021","AQS","100010002","3","2.6","ug/m3 LC","11","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"01/30/2021","AQS","100010002","3","4.7","ug/m3 LC","20","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"01/31/2021","AQS","100010002","3","6.6","ug/m3 LC","28","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"02/01/2021","AQS","100010002","3","2.2","ug/m3 LC","9","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"02/02/2021","AQS","100010002","3","4.9","ug/m3 LC","20","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"02/03/2021","AQS","100010002","3","3.3","ug/m3 LC","14","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"02/04/2021","AQS","100010002","3","7.1","ug/m3 LC","30","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"02/05/2021","AQS","100010002","3","8.7","ug/m3 LC","36","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"02/06/2021","AQS","100010002","3","4.8","ug/m3 LC","20","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"02/07/2021","AQS","100010002","3","5.3","ug/m3 LC","22","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"02/08/2021","AQS","100010002","3","6.9","ug/m3 LC","29","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
